PMI,2,3,1,125.572
PMI,2,3,2,154.249
PMI,2,3,3,228.025
PMI,2,3,4,453.579
PMI,2,3,5,934.707
PMI,2,3,6,1064.341
PMI,2,3,7,1311.597
PMI,2,3,8,1388.278
PMI,2,3,9,1253.767
PMI,2,3,10,1035.78
PMI,2,3,11,160.178
PMI,2,3,12,110.69
PMI,2,3,13,126.252
PMI,2,3,14,155.084
PMI,2,3,15,229.259
PMI,2,3,16,456.034
PMI,2,3,17,939.766
PMI,2,3,18,1070.101
PMI,2,3,19,1318.696
PMI,2,3,20,1395.792
PMI,2,3,21,1260.553
PMI,2,3,22,1041.386
PMI,2,3,23,161.045
PMI,2,3,24,111.289
PMI,2,3,25,138.033
PMI,2,3,26,169.556
PMI,2,3,27,250.653
PMI,2,3,28,498.589
PMI,2,3,29,1027.462
PMI,2,3,30,1169.959
PMI,2,3,31,1441.752
PMI,2,3,32,1526.042
PMI,2,3,33,1378.183
PMI,2,3,34,1138.564
PMI,2,3,35,176.073
PMI,2,3,36,121.674
PMI,2,3,37,177.183
PMI,2,3,38,211.066
PMI,2,3,39,359.275
PMI,2,3,40,660.757
PMI,2,3,41,1352.676
PMI,2,3,42,1462.476
PMI,2,3,43,1716.868
PMI,2,3,44,1620.671
PMI,2,3,45,1530.248
PMI,2,3,46,1244.693
PMI,2,3,47,195.653
PMI,2,3,48,150.967
PMI,2,3,49,171.831
PMI,2,3,50,240.088
PMI,2,3,51,368.961
PMI,2,3,52,812.048
PMI,2,3,53,1347.622
PMI,2,3,54,1546.794
PMI,2,3,55,1680.904
PMI,2,3,56,1625.515
PMI,2,3,57,1585.178
PMI,2,3,58,1195.75
PMI,2,3,59,234.42
PMI,2,3,60,183.587
PMI,2,3,61,180.11
PMI,2,3,62,291.972
PMI,2,3,63,507.973
PMI,2,3,64,782.401
PMI,2,3,65,1395.111
PMI,2,3,66,1552.577
PMI,2,3,67,1626.389
PMI,2,3,68,1749.648
PMI,2,3,69,1605.198
PMI,2,3,70,1193.439
PMI,2,3,71,270.24
PMI,2,3,72,174.686
PMI,2,3,73,238.365
PMI,2,3,74,346.29
PMI,2,3,75,594.96
PMI,2,3,76,980.94
PMI,2,3,77,1370.944
PMI,2,3,78,1627.815
PMI,2,3,79,1791.741
PMI,2,3,80,1800.768
PMI,2,3,81,1749.325
PMI,2,3,82,1366.471
PMI,2,3,83,347.834
PMI,2,3,84,230.27
PMI,2,3,85,270.146
PMI,2,3,86,407.437
PMI,2,3,87,705.612
PMI,2,3,88,1196.168
PMI,2,3,89,1659.474
PMI,2,3,90,1963.541
PMI,2,3,91,2223.114
PMI,2,3,92,2014.291
PMI,2,3,93,2057.815
PMI,2,3,94,1655.371
PMI,2,3,95,417.894
PMI,2,3,96,250.397
